"Data","mLink","threshold","Accuracy","Kappa","F1","Sensitivity","Specificity","Pos.Pred.Value","Neg.Pred.Value","Detection.Rate","Desirability","Log_mod.SE","nDesirability"
"RFE_NB","logit",0.4,0.7841,0.5669,0.7716,0.7667,0.8,0.7864,0.7933,0.3703,0.706,0.0196,0.966196797591351
"RFE_NB","logit",0.45,0.7924,0.5836,0.7827,0.8,0.7833,0.7798,0.8267,0.387,0.7181,0.0222,0.982756261119474
"RFE_NB","logit",0.5,0.8011,0.6012,0.793,0.8182,0.7833,0.7828,0.8418,0.3957,0.7291,0.0237,0.997810318872314
"RFE_NB","logit",0.55,0.8011,0.6012,0.793,0.8182,0.7833,0.7828,0.8418,0.3957,0.7291,0.0237,0.997810318872314
"RFE_NB","logit",0.6,0.8011,0.6012,0.793,0.8182,0.7833,0.7828,0.8418,0.3957,0.7291,0.0237,0.997810318872314
"RFE_NB","logit",0.65,0.7924,0.5841,0.7858,0.8182,0.7667,0.77,0.84,0.3957,0.7198,0.0223,0.985082797317641
"RFE_NB","logit",0.7,0.7837,0.5681,0.7851,0.8364,0.7333,0.7508,0.846,0.4043,0.713,0.0214,0.975776652524976
"RFE_NB","logit",0.75,0.7924,0.5856,0.7943,0.8545,0.7333,0.7546,0.8683,0.413,0.7243,0.0222,0.991241275489257
"RFE_NB","logit",0.8,0.7754,0.5517,0.7803,0.8545,0.7,0.7268,0.865,0.413,0.7058,0.0197,0.96592308745039
"RFE_NB","probit",0.4,0.7841,0.5675,0.7768,0.7833,0.7833,0.7913,0.8039,0.3786,0.709,0.0247,0.970302449705762
"RFE_NB","probit",0.45,0.8011,0.602,0.7982,0.8182,0.7833,0.7941,0.8339,0.3957,0.7307,0.0274,1
"RFE_NB","probit",0.5,0.7924,0.5849,0.7911,0.8182,0.7667,0.7805,0.8309,0.3957,0.7212,0.0273,0.986998768304366
"RFE_NB","probit",0.55,0.7837,0.5676,0.7827,0.8182,0.75,0.7583,0.8281,0.3957,0.7109,0.0257,0.972902696044888
